title,genre,runtime,mpaa_rating,release_year,imdb_rating,critics_score,director,actor1,actor2,actor3,actor4,actor5
Phantom of the Paradise,Horror,92,PG,1974,7.4,95,Brian DePalma,William Finley,Paul Williams,Jessica Harper,George Memmoli,Gerrit Graham
Twenty Bucks,Drama,91,R,1993,6.4,75,Keva Rosenfeld,Linda Hunt,Brendan Fraser,Gladys Knight,Elisabeth Shue,David Rasche
Alaska,Action & Adventure,109,PG,1996,5.7,18,Fraser Clarke Heston,Thora Birch,Vincent Kartheiser,Dirk Benedict,Charlton Heston,Gordon Tootoosis
Running on Empty,Musical & Performing Arts,116,PG-13,1988,7.7,85,Sidney Lumet,River Phoenix,Christine Lahti,Judd Hirsch,Martha Plimpton,Ed Crowley
Godzilla Vs Mechagodzilla,Art House & International,84,PG,1974,6.3,67,Jun Fukuda,Masaaki Daimon,Kazuya Aoyama,Reiko Tajima,Carol Lynley,Barbara Lynn
49 Up,Documentary,180,Unrated,2006,8.2,95,Michael Apted,Bruce Balden,Jacqueline Bassett,Symon Basterfield,Andrew Brackfield,John Brisby
This is 40,Comedy,134,R,2012,6.2,51,Judd Apatow,Leslie Mann,Paul Rudd,John Lithgow,Megan Fox,Albert Brooks
Fair Game,Drama,108,PG-13,2010,6.8,79,Doug Liman,Naomi Watts,Sean Penn,Bruce McGill,Michael Kelly,Ty Burrell
Hercules,Action & Adventure,98,PG-13,2014,6,60,Brett Ratner,"Dwayne ""The Rock"" Johnson",Ian McShane,Rufus Sewell,Ingrid Bolso Berdal,John Hurt
Max Manus: Man of War,Drama,118,Unrated,2010,7.3,80,Joachim Roenning,Askel Hennie,Aksel Hennie,Agnes Kittelsen,Nicolai Cleve Broch,Ken Duken
Curdled,Drama,88,R,1996,5.9,17,Reb Braddock,Angela Jones,William Baldwin,Bruce Ramsay,Mel Gorham,Lois Chiles
The Omen,Mystery & Suspense,110,R,2006,5.5,27,John Moore,Julia Stiles,Liev Schreiber,Mia Farrow,David Thewlis,Pete Postlethwaite
A Night at the Roxbury,Comedy,82,PG-13,1998,6.2,11,Amy Heckerling,Chris Kattan,Will Ferrell,Loni Anderson,Dan Hedaya,Dwayne Hickman
Tank Girl,Action & Adventure,104,R,1995,5.2,38,Rachel Talalay,Lori Petty,Malcolm McDowell,Ice-T,Naomi Watts,Don Harvey
Missing,Mystery & Suspense,122,PG,1982,7.8,96,Costa-Gavras,Jack Lemmon,Sissy Spacek,John Shea,Melanie Mayron,Charles Cioffi
Point Break,Mystery & Suspense,122,R,1991,7.2,68,Kathryn Bigelow,Keanu Reeves,Patrick Swayze,Gary Busey,Lori Petty,John C. McGinley
Shall We Dance,Drama,106,PG-13,2004,6.1,46,Peter Chelsom,Richard Gere,Jennifer Lopez,Susan Sarandon,Stanley Tucci,Bobby Cannavale
Malibu's Most Wanted,Comedy,86,PG-13,2003,5.1,31,John Whitesell,Taye Diggs,Anthony Anderson,Regina Hall,Ryan O'Neal,Bo Derek
The Evening Star,Drama,129,PG-13,1996,5.8,23,Robert Harling,Shirley MacLaine,Bill Paxton,Juliette Lewis,Miranda Richardson,Ben Johnson
Cloud Atlas,Drama,172,R,2012,7.5,66,Tom Tykwer,Tom Hanks,Halle Berry,Jim Broadbent,Hugo Weaving,Jim Sturgess
Fire Down Below,Action & Adventure,105,R,1997,4.9,11,Harry Dean Stanton,Steven Seagal,Marg Helgenberger,Harry Dean Stanton,Stephen Lang,Kris Kristofferson
The Five Heartbeats,Musical & Performing Arts,121,R,1991,7.5,38,Robert Townsend,Michael Wright,Tico Wells,Leon,Harry Lennix,Diahann Carroll
Porky's Revenge,Art House & International,92,R,1985,4.6,27,James Komack,Dan Monahan,Wyatt Knight,Mark Herrier,Tony Ganios,Kaki Hunter
Disaster Movie,Comedy,87,PG-13,2008,1.9,1,Aaron Seltzer,Matt Lanter,Kim Kardashian,Vanessa Lachey,Carmen Electra,G-Thang
Teen Wolf Too,Science Fiction & Fantasy,95,PG,1987,3.1,7,Christopher Leitch,Jason Bateman,Kim Darby,John Astin,Estee Chandler,Paul Sand
The Fighter,Other,116,R,2010,7.9,90,David O. Russell,Christian Bale,Mark Wahlberg,Amy Adams,Melissa Leo,Jack McGee
A Little Romance,Drama,110,PG,1979,7.5,72,George Roy Hill,Laurence Olivier,Diane Lane,Thelonious Bernard,Thelonius Bernard,Arthur Hill
First Knight,Drama,134,PG-13,1995,5.9,47,Jerry Zucker,Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham
Tabloid,Documentary,87,R,2011,7.1,91,Errol Morris,Joyce McKinney,Jackson Shaw,Peter Tory,Troy Williams,Kent Gavin
The Hurt Locker,Drama,131,R,2009,7.6,98,Kathryn Bigelow,Jeremy Renner,Anthony Mackie,Brian Geraghty,Guy Pearce,Ralph Fiennes
Benda Bilili!,Documentary,85,PG-13,2011,7.5,93,Florent de la Tullaye,Makemo Nzale,"Theo ""Coude"" Nsituvuidi",Zadis Mbulu Nzungu,Djunana Tanga-Suele,Coco Ngambali Yakala
Memento,Mystery & Suspense,113,R,2000,8.5,92,Christopher Nolan,Guy Pearce,Joe Pantoliano,Carrie-Anne Moss,Stephen Tobolowsky,Mark Boone Jr.
A Prayer for the Dying,Drama,107,R,1987,6.4,63,Mike Hodges,Mickey Rourke,Bob Hoskins,Alan Bates,Sammi Davis,Christopher Fulford
Jonestown: The Life and Death of Peoples Temple,Documentary,86,Unrated,2006,7.9,94,Stanley Nelson,NA,NA,NA,NA,NA
So I Married an Axe Murderer,Comedy,93,PG-13,1993,6.4,55,Thomas Schlamme,Mike Myers,Nancy Travis,Anthony LaPaglia,Amanda Plummer,Brenda Fricker
Ziggy Stardust and the Spiders from Mars,Documentary,90,PG,1973,7.5,71,D.A. Pennebaker,David Bowie,Mick Ronson,Trevor Bolder,Mick Woodmansy,Angela Bowie
Conversations With Other Women,Drama,84,R,2006,7.1,74,Hans Canosa,Aaron Eckhart,Brian Geraghty,Brianna Brown,Olivia Wilde,Thomas Lennon
Sleepwalking,Drama,101,R,2008,6.2,17,Bill Maher,Charlize Theron,Nick Stahl,Annasophia Robb,Dennis Hopper,Woody Harrelson
"Next Stop, Greenwich Village",Drama,111,R,1976,6.9,73,Paul Mazursky,Lenny Baker,Shelley Winters,Christopher Walken,Ellen Greene,Lois Smith
Dream House,Mystery & Suspense,92,PG-13,2011,5.9,6,Jim Sheridan,Daniel Craig,Rachel Weisz,Naomi Watts,Elias Koteas,Marton Csokas
Resurrecting the Champ,Drama,112,PG-13,2007,6.8,60,Rod Lurie,Samuel L. Jackson,Josh Hartnett,Kathryn Morris,Alan Alda,Rachel Nichols
The Help,Drama,146,PG-13,2011,8.1,76,Tate Taylor,Emma Stone,Viola Davis,Bryce Dallas Howard,Octavia Spencer,Jessica Chastain
A Scanner Darkly,Drama,100,R,2006,7.1,69,Richard Linklater,Keanu Reeves,Robert Downey Jr.,Woody Harrelson,Winona Ryder,Rory Cochrane
Hard Candy,Drama,104,R,2006,7.1,68,David Slade,Ellen Page,Patrick Wilson,Sandra Oh,Jennifer Holmes,G.J. Echternkamp
This Is the End,Drama,107,R,2013,6.7,83,Seth Rogen,James Franco,Jonah Hill,Danny McBride,Craig Robinson,Michael Cera
Longtime Companion,Drama,96,R,1990,7.6,100,Norman Rene,Bruce Davison,Mark Lamos,Campbell Scott,Stephen Caffrey,Patrick Cassidy
The Last Lions,Documentary,88,PG,2011,8.4,87,Dereck Joubert,Jeremy Irons,NA,NA,NA,NA
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)",Drama,93,R,1972,8,98,Werner Herzog,Klaus Kinski,Ruy Guerra,Ruy Guerra,Del Negro,Del Negro
The Main Event,Other,112,PG,1979,5.8,38,Howard Zieff,Ryan O'Neal,Paul Sand,Whitman Mayo,Patti D'Arbanville,Chu Chu Malave
Inserts,Drama,117,NC-17,1975,6.4,80,John Byrum,Richard Dreyfuss,Jessica Harper,Stephen Davies,Veronica Cartwright,Bob Hoskins
Star Trek: Insurrection,Action & Adventure,103,PG,1998,6.4,55,Jonathan Frakes,Brent Spiner,Michael Dorn,LeVar Burton,F Murray Abraham,Donna Murphy
Valmont,Drama,137,R,1989,7,54,Milos Forman,Colin Firth,Annette Bening,Meg Tilly,Fairuza Balk,Sian Phillips
Kill Bill: Volume 2,Drama,137,R,2004,8,84,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,Gordon Liu
8 Heads in a Duffel Bag,Comedy,95,R,1997,5.2,11,Tom Schulman,Joe Pesci,Andy Comeau,Kristy Swanson,David Spade,George Hamilton
Meteor,Drama,108,PG,1979,4.9,5,Ronald Neame,Sean Connery,Natalie Wood,Karl Malden,Brian Keith,Martin Landau
Dance Flick,Action & Adventure,83,PG-13,2009,3.5,18,Damien Wayans,Essence Atkins,Shawn Wayans,Shoshanna Bush,Marlon Wayans,Damon Wayans Jr.
Stolen Summer,Drama,91,PG,2002,6.5,36,Pete Jones,Aidan Quinn,Bonnie Hunt,Adiel Stein,Kevin Pollak,Adi Stein
1941,Action & Adventure,118,PG,1979,5.9,32,Steven Spielberg,Dan Aykroyd,Ned Beatty,John Belushi,Lorraine Gary,Murray Hamilton
Underworld: The Rise of the Lycans,Action & Adventure,92,R,2009,6.6,29,Patrick Tatopoulos,Bill Nighy,Michael Sheen,Rhona Mitra,Steven Mackintosh,Kevin Grevioux
After Innocence,Documentary,95,Unrated,2005,7.8,91,Jessica Sanders,Herman Atkins,Wilton Dedge,Scott Hornoff,Dennis Maher,Vincent Moto
Tim and Eric's Billion Dollar Movie,Comedy,93,R,2012,5.3,38,Tim Heidecker,Tim Heidecker,Eric Wareheim,William Atherton,Jeff Goldblum,Robert Loggia
Mr. Jones,Drama,114,R,1993,5.7,46,Mike Figgis,Richard Gere,Lena Olin,Anne Bancroft,Delroy Lindo,Tom Irwin
Goin' South,Other,105,PG,1978,6.3,71,Jack Nicholson,Jack Nicholson,Mary Steenburgen,Christopher Lloyd,John Belushi,Veronica Cartwright
Russian Dolls (Les Poupees Russes),Other,125,Unrated,2006,7,72,Cedric Klapisch,Romain Duris,Audrey Tautou,Kelly Reilly,Cecile De France,Kevin Bishop
My Flesh and Blood,Documentary,83,Unrated,2003,8.4,90,Jonathan Karsh,Susan Tom,Joe Tom,Chloe Tom,Anthony Tom,Xenia Tom
Revenge of the Nerds II: Nerds in Paradise,Comedy,88,PG-13,1987,4.9,8,Joe Roth,Robert Carradine,Courtney Thorne-Smith,Curtis Armstrong,Larry B. Scott,Timothy Busfield
Hulk,Action & Adventure,138,PG-13,2003,5.7,61,Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott,Nick Nolte,Josh Lucas
Vampire in Brooklyn,Horror,100,R,1995,4.5,10,Wes Craven,Eddie Murphy,Angela Bassett,Allen Payne,Kadeem Hardison,John Witherspoon
George Washington,Art House & International,89,Unrated,2000,7.5,84,David Green,Donald Holden,Candace Evanofski,Curtis Cotton III,Eddie Rouse,Paul Schneider
Agent Cody Banks 2: Destination London,Action & Adventure,100,PG,2004,4.5,13,Kevin Allen,Frankie Muniz,Anthony Anderson,Hannah Spearritt,Cynthia Stevenson,Daniel Roebuck
Into The Arms Of Strangers - Stories Of The Kindertransport,Documentary,122,PG,2000,7.9,94,Mark Jonathan Harris,Lorraine Allard,Lory Cahn,Hedy Epstein,Kurt Fuchel,Gordon Alexander
The Take,Drama,96,R,2007,5.8,85,Brad Furman,John Leguizamo,Tyrese Gibson,Rosie Perez,Bobby Cannavale,Yul Vazquez
A Star is Born,Drama,139,R,1976,6.5,31,Frank R. Pierson,Barbra Streisand,Kris Kristofferson,Gary Busey,Oliver Clark,Vanetta Fields
The Belly of an Architect,Drama,119,R,1987,7,91,Peter Greenaway,Brian Dennehy,Chloe Webb,Lambert Wilson,Sergio Fantoni,Vanni Corbellini
Veronica Mars,Drama,107,PG-13,2014,6.8,78,Rob Thomas (III),Kristen Bell,Ryan Hansen,Jason Dohring,Chris Lowell,Tina Majorino
Kaena: The Prophecy,Action & Adventure,85,PG-13,2004,6.2,7,Chris Delaporte,Kirsten Dunst,Richard Harris,Anjelica Huston,Keith David,Michael McShane
Ghost Ship,Horror,91,R,2002,5.5,14,Steve Beck,Gabriel Byrne,Julianna Margulies,Ron Eldard,Desmond Harrington,Isaiah Washington
21 Grams,Drama,124,R,2003,7.7,80,Alejandro Gonzalez Inarritu,Sean Penn,Naomi Watts,Benicio Del Toro,Charlotte Gainsbourg,Melissa Leo
Date Night,Comedy,88,PG-13,2010,6.3,67,Shawn Levy,Steve Carell,Tina Fey,Mark Wahlberg,Taraji P. Henson,Jimmi Simpson
Anchorman 2: The Legend Continues,Comedy,119,PG-13,2013,6.3,75,Adam McKay,Will Ferrell,Paul Rudd,Steve Carell,David Koechner,Christina Applegate
Thunderheart,Drama,119,R,1992,6.8,87,Michael Apted,Val Kilmer,Sam Shepard,Graham Greene (II),Fred Ward,Fred Dalton Thompson
Guess Who,Comedy,105,PG-13,2005,5.9,43,Ashton Kutcher,Bernie Mac,Ashton Kutcher,Zoe Saldana,Judith Scott,Hal Williams
Brubaker,Drama,131,R,1980,7.1,75,Stuart Rosenberg,Robert Redford,Yaphet Kotto,Jane Alexander,Murray Hamilton,David Keith
Jagged Edge,Mystery & Suspense,108,R,1985,6.4,82,Richard Marquand,Glenn Close,Jeff Bridges,Peter Coyote,Robert Loggia,John Dehner
The Last Remake of Beau Geste,Action & Adventure,85,PG,1977,6,33,Marty Feldman,Marty Feldman,Ann-Margret,Michael York,Peter Ustinov,James Earl Jones
Melancholia,Drama,130,R,2011,7.1,79,Lars von Trier,Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,John Hurt,Alexander Skarsgard
Boomerang,Comedy,117,R,1992,5.4,40,Reginald Hudlin,Eddie Murphy,Robin Givens,Halle Berry,David Alan Grier,Martin Lawrence
The Ritz,Art House & International,91,R,1976,7.8,40,Richard Lester,Jack Weston,Rita Moreno,Jerry Stiller,Kaye Ballard,F Murray Abraham
The Man with the Golden Gun,Drama,125,PG,1974,6.8,45,Guy Hamilton,Roger Moore,Christopher Lee,Britt Ekland,Maud Adams,Herve Villechaize
Hellraiser - Bloodline,Science Fiction & Fantasy,85,R,1996,5,25,Joe Chappelle,Doug Bradley,Bruce Ramsay,Valentina Vargas,Kim Myers,Christine Harnos
The Butcher's Wife,Other,107,PG-13,1991,5.3,21,Terry Hughes,Demi Moore,Jeff Daniels,George Dzundza,Mary Steenburgen,Frances McDormand
Diner,Drama,110,R,1982,7.2,91,Barry Levinson,Steve Guttenberg,Daniel Stern,Mickey Rourke,Kevin Bacon,Tim Daly
Cecil B. Demented,Comedy,87,R,2000,6.2,53,John Waters,Stephen Dorff,Melanie Griffith,Adrian Grenier,Alicia Witt,Lawrence Gilliard Jr.
Ragtime,Drama,155,PG,1981,7.3,90,Milos Forman,James Cagney,Elizabeth McGovern,Brad Dourif,Moses Gunn,Kenneth McMillan
One Day,Drama,107,PG-13,2011,7,36,Lone Scherfig,Anne Hathaway,Jim Sturgess,Tom Mison,Jodie Whittaker,Rafe Spall
Rambling Rose,Drama,112,R,1991,6.7,100,Martha Coolidge,Laura Dern,Robert Duvall,Diane Ladd,Lukas Haas,John Heard
Cameraman: The Life And Work Of Jack Cardiff,Documentary,86,Unrated,2011,7.8,96,Craig McCall,Martin Scorsese,Kirk Douglas,Lauren Bacall,Charlton Heston,Kim Hunter
I Am Bruce Lee,Documentary,94,Unrated,2012,7.5,67,Pete McCormack,Dana White,Ed O'Neill,Kobe Bryant,Linda Lee Cadwell,Manny Pacquiao
Let It Be,Documentary,81,G,1970,7.9,82,Michael Lindsay-Hogg,Beatles The,Paul McCartney,Ringo Starr,George Harrison,John Lennon
The Groove Tube,Other,75,R,1974,5.9,13,Ken Shapiro,Mary Mendham,Richard Belzer,Bill Paxton,Chevy Chase,Buzzy Linhart
Brighton Rock,Mystery & Suspense,111,R,2011,5.8,51,Rowan Joffe,Sam Riley,Andrea Riseborough,Helen Mirren,John Hurt,Andy Serkis
The Disappearance of Alice Creed,Mystery & Suspense,96,R,2010,6.8,82,J Blakeson,Gemma Arterton,Martin Compston,Eddie Marsan,NA,NA
Sgt. Bilko,Comedy,93,PG,1996,5.7,32,Jonathan Lynn,Steve Martin,Dan Aykroyd,Phil Hartman,Glenne Headly,Daryl 'Chill' Mitchell
One Night at McCool's,Comedy,93,R,2001,6.1,33,Harald Zwart,Liv Tyler,Matt Dillon,Paul Reiser,John Goodman,Michael Douglas
V.I. Warshawski,Drama,89,R,1991,4.8,17,Jeff Kanew,Kathleen Turner,Jay O Sanders,Charles Durning,Angela Goethals,Nancy Paul
Glory,Drama,122,R,1989,7.9,93,Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,Andre Braugher
Carnosaur,Horror,83,R,1993,3.4,11,Adam Simon,Diane Ladd,Raphael Sbarge,Jennifer Runyon,David Rupel,Raphael Searge
The Ninth Gate,Mystery & Suspense,133,R,1999,6.7,41,NA,Johnny Depp,Frank Langella,Lena Olin,Emmanuelle Seigner,Barbara Jefford
New York Minute,Action & Adventure,91,PG,2004,4.8,11,Dennie Gordon,Eugene Levy,Andy Richter,Riley Smith,Jared Padalecki,Drew Pinsky
Blue Valentine,Drama,112,R,2010,7.4,88,Andrij Parekh,Ryan Gosling,Michelle Williams,Faith Wladyka,John Doman,Mike Vogel
The Jazz Singer,Musical & Performing Arts,115,PG,1980,5.7,15,Ralph Thomas,Neil Diamond,Laurence Olivier,Lucie Arnaz,Lucie Arnez,Catlin Adams
The Other Sister,Drama,129,PG-13,1999,6.4,29,Garry Marshall,Juliette Lewis,Diane Keaton,Tom Skerritt,Giovanni Ribisi,Poppy Montgomery
The Astronaut Farmer,Drama,104,PG,2006,6.3,57,Michael Polish,Virginia Madsen,Bruce Dern,Tim Blake Nelson,Jasper Polish,Logan Polish
Modigliani,Art House & International,128,R,2004,7.4,4,Mick Davis,Andy Garcia,Elsa Zylberstein,Omid Djalili,Hippolyte Girardot,Eva Herzigova
Inbred,Art House & International,90,R,2011,5.3,13,Alex Chandon,James Burrows,James Doherty,Jo Hartley,Seamus O'Neill,Neil Leiper
Pooh's Heffalump Movie,Animation,68,G,2005,6.4,79,Frank Nissen,Nikita Hopkins,Jim Cummings,Ken Sansom,Kath Soucie,Ken Sansom
Good Will Hunting,Drama,126,R,1997,8.3,97,Gus Van Sant,Matt Damon,Robin Williams,Ben Affleck,Minnie Driver,Casey Affleck
Town & Country,Drama,104,R,2000,4.3,13,Boris Damast,Warren Beatty,Diane Keaton,Goldie Hawn,Garry Shandling,Andie MacDowell
Happy Feet,Animation,108,PG,2006,6.5,75,George Miller,Elijah Wood,Robin Williams,Hugh Jackman,Nicole Kidman,Brittany Murphy
Deck the Halls,Comedy,93,PG,2006,4.9,6,John Whitesell,Danny DeVito,Matthew Broderick,Kristin Davis,Kristin Chenoweth,Alia Shawkat
Simone,Drama,117,PG-13,2002,6.1,51,Andrew Niccol,Al Pacino,Catherine Keener,Rachel Roberts,Evan Rachel Wood,Jay Mohr
The Adjuster,Drama,102,R,1992,6.8,73,Atom Egoyan,Elias Koteas,Arsinee Khanjian,Maury Chaykin,Gabrielle Rose,Jennifer Dale
Turistas (Paradise Lost),Drama,93,R,2006,5.3,16,John Stockwell,Melissa George,Josh Duhamel,Olivia Wilde,Desmond Askew,Beau Garrett
New In Town,Comedy,97,PG,2009,5.6,29,Jonas Elmer,Harry Connick Jr.,Rashida Jones,Siobhan Fallon,J.K. Simmons,Frances Conroy
The Prestige,Drama,130,PG-13,2006,8.5,76,Christopher Nolan,Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,Rebecca Hall
Waist Deep,Drama,97,R,2006,5.9,27,Stan Lathan,Tyrese Gibson,Meagan Good,The Game,Paul Terrel Clayton,Darris Love
The Science of Sleep,Drama,105,R,2006,7.3,71,Michel Gondry,Gael Garcia Bernal,Miou Miou,Charlotte Gainsbourg,Alain Chabat,Miou-Miou
Gracie,Drama,95,PG-13,2007,6.2,60,Davis Guggenheim,Carly Schroeder,Elisabeth Shue,Dermot Mulroney,Andrew Shue,Joshua Caras
"See No Evil, Hear No Evil",Action & Adventure,103,R,1989,6.8,18,Arthur Hiller,Richard Pryor,Gene Wilder,Joan Severance,Kevin Spacey,Alan North
The Safety of Objects,Mystery & Suspense,121,R,2001,6.6,49,Rose Troche,Glenn Close,Dermot Mulroney,Jessica Campbell,Patricia Clarkson,Joshua Jackson
Dumb and Dumberer: When Harry Met Lloyd,Comedy,85,PG-13,2003,3.4,10,Troy Miller,Eric Christian Olsen,Derek Richardson,Rachel Nichols,Cheri Oteri,Luis Guzman
The Little Rascals,Comedy,82,PG,1994,6.3,25,Penelope Spheeris,Travis Tedford,Bug Hall,Brittany Ashton Holmes,Kevin Jamal Woods,Zachary Mabry
Moonstruck,Drama,102,PG,1987,7.1,92,Norman Jewison,Cher,Nicolas Cage,Olympia Dukakis,Fyodor Chaliapin,Vincent Gardenia
World Trade Center,Drama,129,PG-13,2006,6,68,Oliver Stone,Nicolas Cage,Michael Pena,Maggie Gyllenhaal,Maria Bello,Stephen Dorff
The Portrait of a Lady,Drama,144,PG-13,1996,6.3,43,Jane Campion,Nicole Kidman,John Malkovich,Barbara Hershey,Mary-Louise Parker,Martin Donovan
The Postman,Action & Adventure,177,R,1997,5.9,9,Kevin Costner,Will Patton,Larenz Tate,Olivia Williams,James Russo,Daniel von Bargen
Mixed Nuts,Comedy,97,PG-13,1994,5.3,7,Nora Ephron,Steve Martin,Madeline Kahn,Rita Wilson,Anthony LaPaglia,Juliette Lewis
While You Were Sleeping,Drama,103,PG,1995,6.6,80,Jon Turteltaub,Sandra Bullock,Bill Pullman,Peter Gallagher,Peter Boyle,Jack Warden
No Country for Old Men,Drama,122,R,2007,8.1,93,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald
Pootie Tang,Comedy,81,PG-13,2001,5.1,29,Louis C.K.,Lance Crouther,Jennifer Coolidge,Wanda Sykes,Robert Vaughn,Chris Rock
Sans Soleil,Documentary,100,R,1983,8.2,92,Chris Marker,Florence Delay,Alexandra Stewart,Kazuko Kawakita,Hayao Shibata,Ichiro Hagiwara
The Secret Life of Words,Art House & International,115,Unrated,2006,7.5,71,Isabel Coixet,Sarah Polley,Tim Robbins,Javier Camara,Sverre Anker Ousdal,Dean Lennox Kelly
Dare,Drama,92,R,2009,5.9,60,Adam Salky,Emmy Rossum,Zach Gilford,Ashley Springer,Ana Gasteyer,Alan Cumming
Formula 51,Action & Adventure,93,R,2002,6.3,25,Ronny Yu,Samuel L. Jackson,Robert Carlyle,Emily Mortimer,Rhys Ifans,Sean Pertwee
The Fifth Element,Drama,126,PG-13,1997,7.6,71,Luc Besson,Bruce Willis,Ian Holm,Gary Oldman,Chris Tucker,Luke Perry
The Frozen Ground,Mystery & Suspense,105,R,2013,6.4,60,Scott Walker,Nicolas Cage,John Cusack,Vanessa Hudgens,Dean Norris,50 Cent
Ice Age: Continental Drift,Action & Adventure,88,PG,2012,6.7,37,Michael Thurmeier,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Seann William Scott
Showtime,Comedy,95,PG-13,2002,5.5,25,Tom Dey,Robert De Niro,Eddie Murphy,Rene Russo,Pedro Damien,Pedro Damian
The Greatest Game Ever Played,Drama,120,PG,2005,7.5,63,Bill Paxton,Shia LaBeouf,Stephen Dillane,Elias Koteas,Josh Flitter,Peyton List
Grizzly Man,Documentary,103,R,2005,7.8,93,Werner Herzog,Timothy Treadwell,Timothy Treadwell,Amie Huguenard,Warren Queeney,Franc Falico
Galaxina,Science Fiction & Fantasy,95,R,1980,3.4,17,William Sachs,Stephen Macht,Dorothy Stratten,Avery Schreiber,James David Hinton,Ronald J. Knight
"Oh, God! Book II",Comedy,94,PG,1980,5.1,50,Gilbert Cates,George Burns,Suzanne Pleshette,Tracy Richards,David Birney,Louanne
Micki + Maude,Comedy,118,PG-13,1984,5.9,67,Blake Edwards,Dudley Moore,Amy Irving,Ann Reinking,Richard Mulligan,George Gaynes
Bootmen,Drama,95,R,2000,6.2,35,Dein Perry,Adam Garcia,Sophie Lee,Sam Worthington,William Zappa,Richard Carter
My Dinner with Andre,Drama,110,PG,1981,7.8,91,Louis Malle,Jean Lenauer,Roy Butler,Andre Gregory,Wallace Shawn,NA
Mother's Boys,Mystery & Suspense,96,R,1993,5.4,43,Yves Simoneau,Jamie Lee Curtis,Peter Gallagher,Joanne Whalley,Vanessa Redgrave,Luke Edwards
Robin Hood,Action & Adventure,83,G,1973,7.6,50,Wolfgang Reitherman,Brian Bedford,Phil Harris,Monica Evans,Peter Ustinov,Terry-Thomas
Ghost Rider: Spirit of Vengeance,Action & Adventure,96,PG-13,2012,4.3,17,Brian Taylor,Nicolas Cage,Ciaran Hinds,Violante Placido,Idris Elba,Johnny Whitworth
Naked Lunch,Drama,115,R,1991,7.1,71,David Cronenberg,Peter Weller,Judy Davis,Ian Holm,Julian Davis,Roy Scheider
Theremin: An Electronic Odyssey,Documentary,83,PG,1994,7.4,100,Steven M. Martin,Leon Theremin,Clara Rockmore,Todd Rundgren,Brian Wilson,Robert Moog
The Whole Wide World,Drama,111,PG,1996,7.3,81,Dan Ireland,Vincent D'Onofrio,Renee Zellweger,Ann Wedgeworth,Harve Presnell,Benjamin Mouton
Hostel,Horror,94,R,2006,5.9,61,Eli Roth,Jay Hernandez,Derek Richardson,Eythor Gudjonsson,Shane Daly,Barbara Nedeljakova
Swordfish,Drama,99,R,2001,6.5,26,Dominic Sena,John Travolta,Hugh Jackman,Halle Berry,Don Cheadle,Vinnie Jones
Dark Skies,Mystery & Suspense,97,PG-13,2013,6.3,40,Scott Stewart,Keri Russell,Josh Hamilton,Dakota Goyo,Kadan Rockett,J.K. Simmons
The Distinguished Gentleman,Comedy,112,R,1992,5.8,13,Jonathan Lynn,Eddie Murphy,Lane Smith,Sheryl Lee Ralph,Joe Don Baker,Victoria Rowell
The Time Traveler's Wife,Drama,107,PG-13,2009,7.1,38,Robert Schwentke,Rachel McAdams,Eric Bana,Arliss Howard,Ron Livingston,Stephen Tobolowsky
Breathless,Drama,100,R,1983,5.7,67,Jim McBride,Richard Gere,Valerie Kaprisky,Art Metrano,John P. Ryan,William Tepper
Love Actually,Comedy,135,R,2003,7.7,63,Richard Curtis,Bill Nighy,Hugh Grant,Liam Neeson,Emma Thompson,Colin Firth
"Oh, God!",Science Fiction & Fantasy,98,PG,1977,6.5,72,Carl Reiner,George Burns,John Denver,Teri Garr,Donald Pleasence,Ralph Bellamy
Bookies,Drama,88,R,2004,6,67,Mark Illsley,Nick Stahl,Lukas Haas,Johnny Galecki,Rachael Leigh Cook,David Proval
Live and Let Die,Mystery & Suspense,121,PG,1973,6.8,66,Guy Hamilton,Roger Moore,Yaphet Kotto,Jane Seymour,Julius W. Harris,Clifton James
What's Cooking?,Drama,109,PG-13,2000,7.1,52,Gurinder Chadha,Kyra Sedgwick,Mercedes Ruehl,Julianna Margulies,Alfre Woodard,Joan Chen
The Funeral,Drama,99,R,1996,6.6,79,Abel Ferrara,Christopher Walken,Chris Penn,Vincent Gallo,Benicio Del Toro,Annabella Sciorra
Safe House,Mystery & Suspense,115,R,2012,6.8,53,Daniel Espinosa,Ryan Reynolds,Vera Farmiga,Brendan Gleeson,Sam Shepard,Ruben Blades
Welcome to Mooseport,Comedy,110,PG-13,2004,5.2,13,Donald Petrie,Ray Romano,Gene Hackman,Marcia Gay Harden,Maura Tierney,Christine Baranski
Trainspotting,Drama,94,R,1996,8.2,89,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin Mckidd,Robert Carlyle
